,County,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21
0,Fulton,27,33,49,66,88,99
1,Rockdale,0,1,0,1,1,2
2,Paulding,1,1,3,3,3,4
3,Early,0,0,0,2,2,2
4,Houston,0,0,1,1,2,1
5,DeKalb,10,15,18,22,36,41
6,Randolph,0,0,0,0,1,1
7,Heard,0,0,0,0,1,1
8,Newton,1,1,3,3,4,4
9,Fayette,5,5,8,9,9,9
10,Carroll,0,0,0,0,7,14
11,Polk,1,1,1,1,3,4
12,Charlton,1,1,1,1,1,1
13,Oconee,0,0,0,0,1,1
14,Troup,1,2,2,2,2,4
15,Cobb,22,25,28,37,47,50
16,Monroe,0,0,0,0,1,1
17,Gordon,0,2,3,4,3,4
18,Turner,0,0,0,0,1,1
19,Henry,0,2,2,3,6,7
20,Bibb,0,0,0,1,1,1
21,Hall,1,1,3,5,6,9
22,Cherokee,7,7,9,16,16,17
23,Whitfield,0,0,1,1,1,1
24,Clayton,5,4,6,6,10,13
25,Douglas,0,0,0,0,1,4
26,Laurens,0,0,0,2,2,2
27,Pickens,0,0,0,0,2,2
28,Dawson,0,0,0,0,1,1
29,Bartow,9,10,0,0,54,56
30,Glynn,0,0,0,2,2,2
31,Muscogee,0,0,0,1,1,2
32,Barrow,0,0,1,1,1,1
33,Lincoln,0,0,0,0,0,1
34,Spalding,0,0,0,0,2,2
35,Miller,0,0,0,0,1,1
36,Floyd,4,6,6,6,7,8
37,Gwinnett,5,7,7,12,23,23
38,Forsyth,1,1,2,3,3,4
39,Worth,0,0,0,0,2,2
40,Lowndes,3,4,5,6,7,7
41,Chatham,0,0,0,0,2,4
42,Unknown,0,0,0,6,31,37
43,Peach,0,0,0,1,1,2
44,Dougherty,6,6,7,20,44,47
45,Sumter,0,0,0,0,2,2
46,Columbia,0,1,1,1,1,3
47,Effingham,0,0,0,0,1,1
48,Tift,0,0,0,0,1,2
49,Baldwin,0,0,0,0,0,2
50,Richmond,0,1,1,2,8,0
51,Clarke,3,3,5,8,10,9
52,Coweta,0,3,3,3,6,8
53,Dekalb,10,15,18,22,36,41
54,Terrell,0,0,0,0,2,2
55,Lumpkin,0,0,0,0,0,1
56,Lee,2,2,2,3,13,14
57,Lamar,0,0,0,0,1,1
